"","user","scheme","site","event","timeTaken_sec"
"1","ipt401","unknown;N/A","HS-2011-104","testing",0
"383","ipt403","unknown;N/A","HS-2011-104","testing",-293
"384","ipt403","testpasstiles;ImageP","wvacation","Created Password",0
"385","ipt403","testpasstiles;ImageP","wvacation","testing",2
"386","ipt403","testpasstiles;ImageP","wvacation","testing",2
"387","ipt403","testpasstiles;ImageP","wvacation","testing",3
"388","ipt403","testpasstiles;ImageP","wvacation","testing",88
"389","ipt403","testpasstiles;ImageP","wvacation","testing",88
"390","ipt403","testpasstiles;ImageP","wvacation","testing",92
"391","ipt403","testpasstiles;ImageP","wvacation","testing",135
"392","ipt403","testpasstiles;ImageP","wvacation","testing",136
"393","ipt403","testpasstiles;ImageP","wvacation","testing",140
"394","ipt403","testpasstiles;ImageP","wvacation","testing",141
"395","ipt403","testpasstiles;ImageP","wvacation","testing",141
"396","ipt403","testpasstiles;ImageP","wvacation","testing",144
"397","ipt403","testpasstiles;ImageP","wvacation","testing",263
"398","ipt403","testpasstiles;ImageP","wvacation","testing",263
"399","ipt403","testpasstiles;ImageP","wvacation","testing",281
"400","ipt403","testpasstiles;ImageP","wvacation","testing",299
"401","ipt403","testpasstiles;ImageP","wvacation","testing",299
"402","ipt403","unknown;ImagePasstil","wvacation","Failed Login",299
"403","ipt403","testpasstiles;ImageP","wvacation","testing",334
"404","ipt403","testpasstiles;ImageP","wvacation","testing",353
"405","ipt403","testpasstiles;ImageP","wvacation","testing",353
"406","ipt403","unknown;ImagePasstil","wvacation","Failed Login",353
"407","ipt403","testpasstiles;ImageP","wvacation","testing",413
"408","ipt403","testpasstiles;ImageP","wvacation","testing",424
"409","ipt403","testpasstiles;ImageP","wvacation","testing",438
"410","ipt403","testpasstiles;ImageP","wvacation","testing",438
"411","ipt403","testpasstiles;ImageP","wvacation","testing",452
"412","ipt403","testpasstiles;ImageP","wvacation","testing",478
"413","ipt403","testpasstiles;ImageP","wvacation","testing",478
"414","ipt403","unknown;ImagePasstil","wvacation","Failed Login",478
"415","ipt403","testpasstiles;ImageP","wvacation","Created Password",0
"416","ipt403","testpasstiles;ImageP","wvacation","testing",1
"417","ipt403","testpasstiles;ImageP","wvacation","testing",1
"418","ipt403","testpasstiles;ImageP","wvacation","testing",1
"419","ipt403","testpasstiles;ImageP","wvacation","testing",38
"420","ipt403","testpasstiles;ImageP","wvacation","testing",38
"421","ipt403","testpasstiles;ImageP","wvacation","testing",41
